OrderNumber,Month,DayNite,SalesPerson,ProductID,ShoeBrand,ShoeStyle,ShoeColor,ShoeGender,Price,StoreCity,CustGender,CustAge,OnSale,discount,AgeGP,Cost
MEM31,January,PM,Karen,410742,New Balance,W1980 Fresh Foam Zante,White,M,99.95,MEMPHIS,M,41,N,0,36-45,86.04
BAR32,January,PM,Shelly,200254,Nike,Air Jordan,Red/Black,M,159.99,BARTLETT,M,25,N,0,18-25,182.31
MEM33,January,PM,Ashley,200209,Nike,Nike Dunk Sky Hi Premium,White,W,89.97,MEMPHIS,F,16,N,0,18-25,40.66
MEM34,January,AM,Bob,407689,ASICS,GEL-Nimbus? 17,Aqua/Black/White,M,149.95,Memphis,M,22,N,0,18-25,111.54
MEM35,January,AM,Karen,445173,Reebok,Smoothflex Flyer,White,W,69.95,MEMPHIS,F,61,N,0,Over 55,52.67
MEM36,January,PM,Karen,407823,ASICS,GEL-FujiRunnegade?,Black/Blue,W,89.99,MEMPHIS,F,45,N,0,36-45,85.19
GER37,January,PM,Ashley,200128,Nike,Nike Dunk Ultra Modern,White/Grey,W,110,GERMANTOWN,F,30,N,0,26-35,118.72
GER38,January,AM,Karen,385614,Saucony,Ignition,Aqua/Black/White,W,46.97,GERMANTOWN,F,66,N,0,Over 55,9.88
GER39,January,PM,Ashley,200165,Nike,Kobe X iD,Yellow/Black,W,155,GERMANTOWN,F,37,N,0,36-45,32.13
MEM40,January,PM,Kevin,410772,New Balance,M1260v4,Red,M,114.97,MEMPHIS,M,29,N,0,26-35,34.28
MEM41,January,PM,Karen,410763,New Balance,W775,White,W,74.95,MEMPHIS,F,58,N,0,Over 55,18.42
MEM42,January,PM,Shelly,200272,Nike,Air Jordan,Red/Black,M,159.99,MEMPHIS,M,21,N,0,18-25,63.79
MEM43,January,PM,Ashley,200156,Nike,Nike AF-1 Ultra Force Mid,White/Black,W,64.97,MEMPHIS,F,70,N,0,Over 55,29.2
MEM44,January,AM,Bob,407786,ASICS,33-FA?,Black,M,109.95,MEMPHIS,M,34,N,0,26-35,114.37
MEM45,January,PM,Karen,399834,Reebok,Goddess,White/Pink,W,59.95,MEMPHIS,F,36,N,0,36-45,34.2
GER46,January,PM,Karen,356355,ASICS,GEL-Kayano? 20,Black/Blue,W,141.99,GERMANTOWN,F,24,N,0,18-25,132.96
MEM47,January,PM,Karen,385549,Saucony,Saucony Triumph,Green/Blue,W,88.89,MEMPHIS,F,56,N,0,Over 55,97.82
MEM48,January,PM,Kevin,387352,New Balance,Horween Leather,Red,M,242.99,MEMPHIS,M,20,N,0,18-25,127.34
MEM49,January,PM,Karen,410743,New Balance,WT980 Fresh Foam,White,W,87.99,MEMPHIS,F,48,N,0,45-55,33.48
GER50,January,PM,Shelly,200286,Nike,Air Jordan,Red/Black,M,159.99,GERMANTOWN,M,24,N,0,18-25,114.3
MEM51,January,PM,Shelly,200177,Nike,Nike Air Zoom Fly 2,White/Black,W,90,MEMPHIS,F,45,N,0,36-45,71.21
GER52,January,PM,Ashley,200182,Nike,Nike Lunar Force 1 Sky Hi,White/Black,W,89.97,GERMANTOWN,F,46,N,0,45-55,103.28
MEM53,January,AM,Kevin,363723,ASICS,GEL-Flux?,Black,M,69.99,MEMPHIS,M,47,N,0,45-55,26.09
GER54,January,PM,Shelly,382120,ASICS,GEL-Cumulus? 16 Lite-Show?,Blue/Pink/Lime,W,99.97,GERMANTOWN,F,39,N,0,36-45,83.93
MEM55,January,PM,Ashley,200136,Nike,Nike Zoom LeBron Soldier VIII iD,Purple/Pink,W,170,MEMPHIS,F,23,N,0,18-25,55.57
GER56,January,PM,Kevin,398894,New Balance,MD800v3 Spike,Red/Black,M,119.95,GERMANTOWN,M,50,N,0,45-55,79.61
MEM57,January,PM,Shelly,300758,New Balance,W990v3,White,M,154.95,MEMPHIS,M,21,N,0,18-25,36.77
MEM58,January,PM,Ashley,411849,Reebok,Southrange Run,Blue/Green,W,59.95,MEMPHIS,F,37,N,0,36-45,48.41
MEM59,January,PM,Ashley,200304,Nike,Air Jordan,Red/Black,M,159.99,MEMPHIS,M,31,N,0,26-35,52.79
MEM60,January,PM,Ashley,407821,ASICS,GEL-FujiAttack? 4,White,W,93.99,MEMPHIS,F,44,N,0,36-45,60.32
MEM61,January,AM,Kevin,382213,ASICS,GEL-Fortitude? 3,Black,M,109.95,MEMPHIS,M,34,N,0,26-35,32.44
MEM62,January,AM,Mandeep,200238,Nike,Nike Flyknit Lunar,Blue/Green,M,109.99,MEMPHIS,M,22,N,0,18-25,64.72
MEM63,January,PM,Shelly,382207,ASICS,GEL-Sonoma?,Black/White,M,74.95,MEMPHIS,M,50,N,0,45-55,70.32
MEM64,January,PM,Kevin,445086,New Balance,3190 v1,White,M,85.99,MEMPHIS,M,31,N,0,26-35,67.16
MEM65,January,PM,Shelly,410781,New Balance,WT510v2,Black,M,74.95,MEMPHIS,M,46,N,0,45-55,71.37
MEM66,January,PM,Ashley,200305,Nike,Air Jordan,Red/Black,M,159.99,MEMPHIS,M,23,N,0,18-25,49.5
MEM67,January,PM,Ashley,382131,ASICS,GEL-Lyte33?,White,W,84.95,MEMPHIS,F,51,N,0,45-55,19.46
MEM68,January,AM,Kevin,407820,ASICS,GEL-Fuji Pro?,Black,M,102.99,MEMPHIS,M,36,N,0,36-45,39.89
GER69,January,AM,Kevin,382108,ASICS,GEL-Exalt 2?,Grey/Aqua,M,79.99,GERMANTOWN,M,52,N,0,45-55,80.93
GER70,January,PM,Shelly,382127,ASICS,GEL-Electro33?,White/Black,W,87.99,GERMANTOWN,F,24,N,0,18-25,65.83
GER71,January,PM,Kevin,424068,New Balance,M1400v3,White/Black,M,99.95,GERMANTOWN,M,41,N,0,36-45,52.96
MEM72,January,PM,Kevin,200217,Nike,LeBron Xiii,Black/White,M,200,MEMPHIS,M,23,N,0,18-25,42.81
MEM73,January,PM,Shelly,377243,New Balance,WT510v2,White,M,74.95,MEMPHIS,M,21,N,0,18-25,42.69
MEM74,January,PM,Ashley,200225,Nike,Air Jordan,Red/White,M,159.99,MEMPHIS,M,40,N,0,36-45,174.54
GER75,January,PM,Ashley,407688,ASICS,GEL-Noosa Tri?,White,W,139.95,GERMANTOWN,F,26,N,0,26-35,30.74
MEM76,January,AM,Kevin,382178,ASICS,GEL-Fuji Trabuco? 3,Black,M,102.99,MEMPHIS,M,36,N,0,36-45,74.75
GER77,January,PM,Shelly,407766,ASICS,GEL-Fortify?,White/Black,W,149.95,GERMANTOWN,F,22,N,0,18-25,36.37
MEM78,January,PM,Kevin,382205,ASICS,GEL-Sendai?,Grey/Aqua,M,139.95,MEMPHIS,M,26,N,0,26-35,101.34
GER79,January,PM,Kevin,365745,New Balance,M680v2,White/Black,M,61.99,GERMANTOWN,M,37,N,0,36-45,28.94
MEM80,January,PM,Mandeep,200219,Nike,Air Jordan,Orange,M,159.99,MEMPHIS,M,48,N,0,45-55,178.23
MEM81,January,PM,Shelly,410759,New Balance,W3190v2,White/Black,M,89.95,MEMPHIS,M,35,N,0,26-35,68.79
MEM82,January,PM,Ashley,200214,Nike,Air Jordan,White,M,159.99,MEMPHIS,M,19,N,0,18-25,163.17
MEM83,January,AM,Mandeep,200219,Nike,Air Jordan,Orange,M,159.99,MEMPHIS,M,15,N,0,18-25,77.12
MEM84,January,AM,Kevin,382085,ASICS,GEL-Surveyor?,Black,M,139.97,MEMPHIS,M,26,N,0,26-35,53.96
GER85,January,PM,Shelly,407819,ASICS,GEL-FujiPro?,White/Black,W,102.99,GERMANTOWN,F,35,N,0,26-35,22.47
BAR86,January,PM,Kevin,200220,Nike,Air Jordan,Black/White,M,159.99,BARTLETT,M,20,N,0,18-25,87.88
GER87,January,PM,Ashley,200141,Nike,Nike Flyknit Lunar,Purple/Pink,W,109.99,GERMANTOWN,F,23,N,0,18-25,82.73
MEM88,January,PM,Mandeep,300757,New Balance,M990v3,White/Black,M,149.99,MEMPHIS,M,22,N,0,18-25,137.39
MEM89,January,PM,Shelly,200127,Nike,Nike Flyknit Lunar,Orange,W,109.99,MEMPHIS,F,20,N,0,18-25,62.81
MEM90,January,PM,Shelly,388877,New Balance,W1600v2 LE Heidi Klum,Purple/Pink,W,51.97,MEMPHIS,F,29,N,0,26-35,27.99
MEM91,January,PM,Ashley,200224,Nike,Free 4.0 Flyknit,White,M,130,MEMPHIS,M,12,N,0,18-25,148.91
GER92,January,PM,Mandeep,200244,Nike,Nike Free 5.0,Orange,M,140,GERMANTOWN,M,37,N,0,36-45,41.1
MEM93,January,AM,Mandeep,200244,Nike,Nike Free 5.0,Orange,M,140,MEMPHIS,M,38,N,0,36-45,34.46
MEM94,January,PM,Kevin,407706,ASICS,Gel-Flux?,Black/Red,M,69.99,MEMPHIS,M,41,N,0,36-45,57.72
GER95,January,PM,Shelly,407805,ASICS,GEL-Hyper Tri?,White/Black,W,99.95,GERMANTOWN,F,40,N,0,36-45,71.2
GER96,January,PM,Ashley,410104,Saucony,Saucony Triumph,Blue/White,W,88.89,GERMANTOWN,F,48,N,0,45-55,53.88
MEM97,January,PM,Mandeep,358313,New Balance,M1400 v2,White/Blue,M,65.99,MEMPHIS,M,38,N,0,36-45,39.88
MEM98,January,PM,Shelly,200147,Nike,Nike Free 4.0 Flyknit,Aqua,W,109.99,MEMPHIS,F,14,N,0,18-25,93.38
MEM99,January,PM,Ashley,200266,Nike,LeBron Xiii,White,M,100,MEMPHIS,M,14,N,0,18-25,33.24
GER100,January,PM,Mandeep,200273,Nike,LeBron Xiii,Black/Orange,M,200,GERMANTOWN,M,24,N,0,18-25,127.69
MEM101,January,PM,Kevin,407810,ASICS,33-M?,Black/Red,M,133.99,MEMPHIS,M,27,N,0,26-35,58.51
GER102,January,PM,Shelly,356343,ASICS,GEL-Super J33?,White/Black,W,94.95,GERMANTOWN,F,44,N,0,36-45,37.71
MEM103,January,PM,Ashley,385581,Saucony,Saucony Triumph,White,W,88.89,MEMPHIS,F,56,N,0,Over 55,75.73
MEM104,January,AM,Shelly,200127,Nike,Nike Roshe Runner ,Orange,W,74.99,MEMPHIS,F,20,N,0,18-25,16.89
GER105,January,PM,Ashley,445173,Reebok,Smoothflex Flyer,White,W,69.95,GERMANTOWN,F,60,N,0,Over 55,53.83
MEM106,January,PM,Shelly,200131,Nike,Nike Roshe One ,Purple/Red,W,95,MEMPHIS,F,19,N,0,18-25,59.51
MEM107,January,PM,Karen,200210,Nike,Air Jordan 2,Aqua,W,174.99,MEMPHIS,F,22,N,0,18-25,102.49
GER108,January,PM,Karen,200194,Nike,Nike LunarGlide,Orange/Black,W,110,GERMANTOWN,F,31,N,0,26-35,64.59
GER109,January,PM,Mandeep,377751,New Balance,M890v5,Yellow/White,M,114.95,GERMANTOWN,M,29,N,0,26-35,23.14
MEM110,January,PM,Ashley,200267,Nike,Air Jordan 2,White,M,89.97,MEMPHIS,M,16,N,0,18-25,89.25
GER111,January,PM,Kevin,392570,ASICS,GEL-Cumulus? 16 BR?,Black/Red,M,109.95,GERMANTOWN,M,34,N,0,26-35,87.47
GER112,January,PM,Ashley,382216,ASICS,GEL-Fortitude? 3,Blue,W,99.99,GERMANTOWN,F,39,N,0,36-45,60.59
MEM113,January,PM,Ashley,409230,Saucony,Saucony Triumph,White,W,88.89,MEMPHIS,F,41,N,0,36-45,87.17
MEM114,January,PM,Karen,200191,Nike,Nike Air Force 2,Orange,W,100,MEMPHIS,F,39,N,0,36-45,89.68
MEM115,January,PM,Ashley,399834,Reebok,Goddess,White/Pink,W,59.95,MEMPHIS,F,43,N,0,36-45,18.75
MEM116,January,PM,Karen,200139,Nike,Nike Dunk High Skinny,Purple/White,W,129.99,MEMPHIS,F,19,N,0,18-25,60.16
GER117,January,PM,Karen,200163,Nike,Nike Free 3.0 Flyknit,Aqua/Black,W,109.99,GERMANTOWN,F,33,N,0,26-35,27.89
GER118,January,PM,Karen,200148,Nike,Nike Roshe One ,White,W,95,GERMANTOWN,F,44,N,0,36-45,24.35
MEM119,January,PM,Karen,200278,Nike,Nike Zoom Speed Trainer,Black/Red,M,90,MEMPHIS,M,17,N,0,18-25,44.14
MEM120,January,PM,Karen,363959,ASICS,GEL-Preleus?,White/Black,W,79.99,MEMPHIS,F,52,N,0,45-55,20.03
GER121,January,PM,Mandeep,410772,New Balance,M1260v4,Red,M,114.97,GERMANTOWN,M,29,N,0,26-35,47.74
MEM122,January,PM,Mandeep,200255,Nike,Nike Air Zoom Streak 5,Orange/Black,M,100,MEMPHIS,M,38,N,0,36-45,97.22
MEM123,January,PM,Kevin,200297,Nike,Nike Zoom Speed Trainer,White,M,90,MEMPHIS,M,18,N,0,18-25,37.91
MEM124,January,PM,Kevin,347280,Saucony,Endorphin,Orange,W,54.99,MEMPHIS,F,29,N,0,26-35,50.88
MEM125,January,PM,Mandeep,363724,ASICS,GEL-Excite? 2,Black/Red,M,61.99,MEMPHIS,M,17,N,0,18-25,53.13
MEM126,January,PM,Karen,411861,Reebok,Zquick Dash,Grey/Aqua,W,69.99,MEMPHIS,F,45,N,0,36-45,44.65
MEM127,January,PM,Karen,411861,Reebok,Zquick Dash,Grey/Aqua,W,69.99,MEMPHIS,F,38,N,0,36-45,75.32
GER128,January,PM,Karen,411861,Reebok,Zquick Dash,Grey/Aqua,W,69.99,GERMANTOWN,F,48,N,0,45-55,47.06
MEM129,January,PM,Karen,411861,Reebok,Zquick Dash,Grey/Aqua,W,69.99,MEMPHIS,F,39,N,0,36-45,45.48
MEM130,January,PM,Kevin,382125,ASICS,Gel-Excel33?,Blue/Green,W,94.99,MEMPHIS,F,42,N,0,36-45,109.03
MEM131,January,PM,Karen,200207,Nike,Nike Free Cross Bionic 7,Aqua/Green,W,110,MEMPHIS,F,33,N,0,26-35,72.77
MEM132,January,PM,Bob,200283,Nike,Nike Flex Run 2014,Black/Red,M,80,MEMPHIS,M,21,N,0,18-25,16.18
MEM133,January,PM,Bob,363944,ASICS,GEL-Fuji Trainer? 3,White/multi,M,77.99,MEMPHIS,M,56,N,0,Over 55,66.36
GER134,January,PM,Mandeep,387352,New Balance,Horween Leather,Red,M,242.99,GERMANTOWN,M,47,N,0,45-55,145.18
MEM135,January,PM,Mandeep,200260,Nike,Nike Free 4.0 Flyknit,Orange/Black,M,109.99,MEMPHIS,M,20,N,0,18-25,40.17
GER136,January,PM,Shelly,364819,Saucony,Endorphin,Grey/Aqua,W,79.95,GERMANTOWN,F,20,N,0,18-25,27.56
GER137,January,PM,Bob,200194,Nike,Nike LunarGlide,Orange/Black,W,110,GERMANTOWN,F,31,N,0,26-35,45.02
GER138,January,PM,Bob,200194,Nike,Nike LunarGlide,Orange/Black,W,110,GERMANTOWN,F,30,N,0,26-35,83.55
GER139,January,PM,Bob,200194,Nike,Nike LunarGlide,Orange/Black,W,110,GERMANTOWN,F,30,N,0,26-35,51.91
MEM140,January,PM,Bob,200194,Nike,Nike LunarGlide,Orange/Black,W,110,MEMPHIS,F,32,N,0,26-35,40.06
MEM141,January,PM,Shelly,200227,Nike,Nike Zoom Speed Trainer,White/Black,M,90,MEMPHIS,M,18,N,0,18-25,28.51
GER142,January,PM,Mandeep,407822,ASICS,GEL-FujiAttack? 4,Black/Red,M,93.99,GERMANTOWN,M,44,N,0,36-45,99.06
MEM143,January,PM,Bob,388255,Reebok,Zquick 2,Grey/Pink,W,58.97,MEMPHIS,F,65,N,0,Over 55,53.01
MEM144,January,PM,Bob,388255,Reebok,Zquick 2,Grey/Pink,W,58.97,MEMPHIS,F,42,N,0,36-45,34.42
MEM145,January,PM,Karen,388255,Reebok,Zquick 2,Grey/Pink,W,58.97,MEMPHIS,F,45,N,0,36-45,19.19
MEM146,January,PM,Karen,388255,Reebok,Zquick 2,Grey/Pink,W,58.97,MEMPHIS,F,47,N,0,45-55,59.56
GER147,January,PM,Kevin,409257,Saucony,Endorphin,Pink,W,79.95,GERMANTOWN,F,54,N,0,45-55,67.34
MEM148,January,PM,Shelly,363883,Nike,Air Jordan,Blue/Green,W,159.99,MEMPHIS,F,29,N,0,26-35,117.06
GER149,January,AM,Kevin,200282,Nike,Nike Dual Fusion Run 3,Black/White,M,80,GERMANTOWN,M,51,N,0,45-55,89.16
MEM150,January,PM,Karen,200164,Nike,Nike Free Cross Bionic 6,Aqua/Yellow,W,110,MEMPHIS,F,12,N,0,18-25,110.31
MEM151,January,PM,Karen,200133,Nike,Nike Flyknit Lunar,Green/White,W,109.99,MEMPHIS,F,16,N,0,18-25,22.47
MEM152,January,PM,Karen,200296,Nike,Nike Lunar Eclipse,Black/Red,M,135,MEMPHIS,M,40,N,0,36-45,46.3
MEM153,January,PM,Mandeep,365722,New Balance,MT10v2 Minimus,Orange/Black,M,96.99,MEMPHIS,M,42,N,0,36-45,108.84
MEM154,January,PM,Mandeep,200274,Nike,Nike Flyknit Air Max,Orange/Yellow/Black,M,99.97,MEMPHIS,M,49,N,0,45-55,34.28
MEM155,January,PM,Ashley,385564,Saucony,Ignition,Grey/Green,W,46.97,MEMPHIS,F,44,N,0,36-45,43.01
GER156,January,PM,Karen,200135,Nike,Nike Free Cross Bionic 2,Orange/Red,W,110,GERMANTOWN,F,31,N,0,26-35,110.97
MEM157,January,PM,Karen,200135,Nike,Nike Free Cross Bionic 2,Orange/Red,W,110,MEMPHIS,F,33,N,0,26-35,71.41
MEM158,January,PM,Karen,200135,Nike,Nike Free Cross Bionic 2,Orange/Red,W,110,MEMPHIS,F,32,N,0,26-35,116.65
GER159,January,PM,Karen,200135,Nike,Nike Free Cross Bionic 2,Orange/Red,W,110,GERMANTOWN,F,31,N,0,26-35,94.87
MEM160,January,PM,Ashley,200233,Nike,Nike Dunk Low Premium SB,White/Black,M,100,MEMPHIS,M,19,N,0,18-25,110.49
MEM161,January,AM,Bob,200242,Nike,Nike Flex Run 2015,White/Black,M,80,MEMPHIS,M,21,N,0,18-25,45.29
MEM162,January,PM,Gary,356344,ASICS,GEL-Kayano? 20,Black/Red,M,149.97,MEMPHIS,M,22,N,0,18-25,80.06
MEM163,January,PM,Karen,445173,Reebok,Smoothflex Flyer,White,W,69.95,MEMPHIS,F,62,N,0,Over 55,77.15
MEM164,January,PM,Karen,445173,Reebok,Smoothflex Flyer,White,W,69.95,MEMPHIS,F,40,N,0,36-45,22.47
MEM165,January,PM,Shelly,445173,Reebok,Smoothflex Flyer,White,W,69.95,MEMPHIS,F,62,N,0,Over 55,62.19
MEM166,January,PM,Shelly,445173,Reebok,Smoothflex Flyer,White,W,69.95,MEMPHIS,F,61,N,0,Over 55,20.08
MEM167,January,PM,Shelly,445173,Reebok,Smoothflex Flyer,White,W,69.95,MEMPHIS,F,61,N,0,Over 55,75.53
MEM168,January,PM,Kevin,385563,Saucony,PowerGrid Omni,Red,W,109.95,MEMPHIS,F,34,N,0,26-35,85.15
MEM169,January,PM,Kevin,409279,Saucony,Cohesion,Black/Red/Aqua,W,55.95,MEMPHIS,F,22,N,0,18-25,58.79
MEM170,January,PM,Ashley,392569,Nike,Nike Zoom Speed Trainer,Blue/Pink/White,W,90,MEMPHIS,F,33,N,0,26-35,55.58
MEM171,January,PM,Shelly,200149,Nike,Nike Flyknit Lunar,Grey,W,109.99,MEMPHIS,F,13,N,0,18-25,98.25
MEM172,January,PM,Shelly,200130,Nike,Nike Free Cross Bionic 5,Black,W,110,MEMPHIS,F,20,N,0,18-25,62.81
MEM173,January,PM,Karen,200213,Nike,Nike LunarGlide,Black/Grey,M,120,MEMPHIS,M,19,N,0,18-25,49.49
MEM174,January,PM,Karen,407781,ASICS,33-FA?,Yellow/White,W,93.99,MEMPHIS,F,44,N,0,36-45,39.83
MEM175,January,PM,Gary,200255,Nike,Nike Air Zoom Streak 5,Orange/Black,M,100,MEMPHIS,M,38,N,0,36-45,29.8
MEM176,January,PM,Gary,365722,New Balance,MT10v2 Minimus,Orange/Black,M,96.99,MEMPHIS,M,42,N,0,36-45,25.9
MEM177,January,PM,Ashley,409242,Saucony,Fastwitch 7,Grey/White/Green,W,63.97,MEMPHIS,F,55,N,0,45-55,14.87
MEM178,January,PM,Karen,411849,Reebok,Southrange Run,Blue/Green,W,59.95,MEMPHIS,F,46,N,0,45-55,58.48
MEM179,January,PM,Karen,411849,Reebok,Southrange Run,Blue/Green,W,59.95,MEMPHIS,F,47,N,0,45-55,63.13
MEM180,January,PM,Karen,411849,Reebok,Southrange Run,Blue/Green,W,59.95,MEMPHIS,F,35,N,0,26-35,26.68
GER181,January,PM,Karen,411849,Reebok,Southrange Run,Blue/Green,W,59.95,GERMANTOWN,F,34,N,0,26-35,64.02
MEM182,January,AM,Bob,200253,Nike,Nike Air Zoom Structure 18 iD,White/Black,M,155,MEMPHIS,M,21,N,0,18-25,52.05
MEM183,January,AM,Karen,385549,Saucony,Cortana,Green/Blue,W,78.97,MEMPHIS,F,56,N,0,Over 55,82.45
MEM184,January,AM,Karen,385549,Saucony,Cortana,Green/Blue,W,78.97,MEMPHIS,F,55,N,0,45-55,84.32
MEM185,January,AM,Karen,385549,Saucony,Cortana,Green/Blue,W,78.97,MEMPHIS,F,56,N,0,Over 55,38.6
MEM186,January,AM,Kevin,388255,Reebok,Zquick 2,Grey/Pink,W,58.97,MEMPHIS,F,14,N,0,18-25,35.04
MEM187,January,PM,Karen,410104,Saucony,Breakthru,Blue/White,W,89.95,MEMPHIS,F,40,N,0,36-45,75.45
GER188,January,PM,Gary,363820,ASICS,GEL-Storm?,Black/Red,M,64.99,GERMANTOWN,M,63,N,0,Over 55,16.73
MEM189,January,PM,Ashley,382209,Nike,Nike Free 5.0,Blue/Pink/White,W,140,MEMPHIS,F,27,N,0,26-35,125.17
MEM190,January,PM,Karen,200144,Nike,Nike Air Force 2,Black,W,100,MEMPHIS,F,12,N,0,18-25,109.39
MEM191,January,PM,Gary,200302,Nike,Nike Air Zoom Fly 2,Aqua,M,90,MEMPHIS,M,45,N,0,36-45,46.62
MEM192,January,AM,Kevin,411863,Reebok,Dual Rush Z,White,W,69.95,MEMPHIS,F,61,N,0,Over 55,39.97
GER193,January,AM,Karen,399834,Reebok,Goddess,White/Pink,W,59.95,GERMANTOWN,F,66,N,0,Over 55,56.21
MEM194,January,AM,Karen,399834,Reebok,Goddess,White/Pink,W,59.95,MEMPHIS,F,67,N,0,Over 55,40.91
MEM195,January,AM,Bob,200232,Nike,Nike Dunk Low Premium SB,White/Blue,M,100,MEMPHIS,M,24,N,0,18-25,33.09
MEM196,January,PM,Kevin,385543,Saucony,PowerGrid Omni,White,W,109.99,MEMPHIS,F,33,N,0,26-35,26.37
MEM197,January,PM,Karen,399834,Reebok,Goddess,White/Pink,W,59.95,MEMPHIS,F,32,N,0,26-35,55.94
MEM198,January,PM,Kevin,200211,Nike,LeBron Xiii,Blue,M,200,MEMPHIS,M,18,N,0,18-25,72.29
MEM199,January,PM,Karen,200119,Nike,Nike Flyknit Lunar,Grey/Aqua,W,109.99,MEMPHIS,F,19,N,0,18-25,25.95
MEM200,January,PM,Karen,200252,Nike,Nike LunarGlide,Black/Grey,M,120,MEMPHIS,M,14,N,0,18-25,90.41
MEM201,January,PM,Gary,431064,ASICS,GEL-Venture?,Black/Red,M,64.95,MEMPHIS,M,64,N,0,Over 55,64.12
GER202,January,PM,Ashley,374775,Nike,Air Jordan,Blue/White,W,159.99,GERMANTOWN,F,46,N,0,45-55,136.84
GER203,January,PM,Karen,411863,Reebok,Dual Rush Z,White,W,69.95,GERMANTOWN,F,60,N,0,Over 55,15.97
